Disease,Common disease group,Symptoms,Disease Group,Dosha Types
Cervical cancer,Cancer and neoplasms,abnormal vaginal bleeding (postcoital; intermenstrual; postmenopausal); foul discharge; pelvic pain; dyspareunia; urinary or rectal symptoms; weight loss,Cancer (Gynecological),pitta
Colon cancer,Cancer and neoplasms,change in bowel habits; rectal bleeding; abdominal pain; weight loss; fatigue; anemia; obstruction symptoms,Cancer (Gastrointestinal),pitta
Endometrial cancer,Cancer and neoplasms,abnormal uterine bleeding; pelvic pain; postmenopausal bleeding; discharge; weight loss; fatigue; pelvic mass,Cancer (Gynecological),pitta
Esophageal cancer,Cancer and neoplasms,progressive dysphagia; odynophagia; weight loss; chest pain; regurgitation; hoarseness; cough; bleeding; aspiration pneumonia,Cancer (Gastrointestinal),pitta
Gallbladder cancer,Cancer and neoplasms,right upper quadrant pain; jaundice; nausea; vomiting; weight loss; fever; palpable mass; pruritus; anorexia,Cancer (Gastrointestinal/biliary),pitta
Gastric (stomach) cancer,Cancer and neoplasms,epigastric pain; nausea; vomiting; early satiety; anorexia; weight loss; hematemesis; melena; anemia; palpable mass; ascites,Cancer (Gastrointestinal),pitta
Gastrointestinal stromal tumor (GIST),Cancer and neoplasms,abdominal pain; GI bleeding; melena; hematemesis; early satiety; abdominal mass; obstruction; fatigue; weight loss,Cancer (Gastrointestinal mesenchymal),pitta
Gestational trophoblastic disease,Cancer and neoplasms,abnormal vaginal bleeding; enlarged uterus; pelvic pain; hyperemesis; passage of vesicles; respiratory symptoms (metastasis); high hCG symptoms,Cancer (Gynecological/placental),pitta
Glioma,Cancer and neoplasms,headache; seizures; focal neurological deficits; cognitive decline; weakness; speech difficulty; nausea; vomiting; vision problems,Cancer (Central nervous system),vata
Head and neck cancer,Cancer and neoplasms,non-healing ulcer; sore throat; hoarseness; dysphagia; neck mass; ear pain; bleeding; weight loss; bad breath; difficulty speaking,Cancer (Head and neck),pitta
Intraocular melanoma,Cancer and neoplasms,vision changes; floaters; photopsia; visual field loss; eye pain; visible dark spot in iris; glaucoma symptoms,Cancer (Eye),pitta
Kaposi sarcoma,Cancer and neoplasms,purple skin lesions; mucosal lesions; edema; GI bleeding (if visceral); cough; dyspnea (pulmonary involvement); weight loss,Cancer (Vascular neoplasm),pitta
Kidney cancer (renal cell carcinoma),Cancer and neoplasms,hematuria; flank pain; abdominal mass; weight loss; fatigue; fever; night sweats; hypertension; anemia or polycythemia,Cancer (Genitourinary),pitta
Laryngeal cancer,Cancer and neoplasms,persistent hoarseness; sore throat; dysphagia; ear pain; lump in neck; cough; hemoptysis; weight loss; dyspnea,Cancer (Head and neck),pitta
Lip and oral cavity cancer,Cancer and neoplasms,non-healing ulcer; lump; pain; bleeding; loose teeth; difficulty chewing; bad breath; weight loss,Cancer (Head and neck),pitta
Lung cancer (non-small or unspecified),Cancer and neoplasms,chronic cough; hemoptysis; dyspnea; chest pain; hoarseness; recurrent infections; weight loss; fatigue; clubbing; pleural effusion,Cancer (Respiratory),vata
Male breast cancer,Cancer and neoplasms,breast lump; nipple retraction; discharge; pain; axillary swelling; skin changes; weight loss; fatigue,Cancer (Breast),kapha
Medulloblastoma,Cancer and neoplasms,headache; nausea; vomiting; unsteady gait; ataxia; double vision; lethargy; seizures; hydrocephalus symptoms,Cancer (Central nervous system—pediatric),vata
Merkel cell carcinoma,Cancer and neoplasms,rapidly growing skin nodule (red/purple); painless; ulceration; local lymphadenopathy; metastasis symptoms,Cancer (Skin),pitta
Mesothelioma,Cancer and neoplasms,chest pain; dyspnea; pleural effusion; cough; fatigue; weight loss; night sweats; hoarseness; dysphagia; abdominal pain (peritoneal form),Cancer (Mesothelial lining),pitta
Mouth cancer,Cancer and neoplasms,ulcer; pain; swelling; bleeding; dysphagia; loose teeth; halitosis; weight loss; restricted tongue movement,Cancer (Head and neck),pitta
Mycosis fungoides,Cancer and neoplasms,skin patches/plaques; pruritus; scaling; tumors; lymphadenopathy; infections; systemic spread (advanced),Cancer (Cutaneous T-cell lymphoma),pitta
Myelodysplastic syndrome,Cancer and neoplasms,fatigue; pallor; infections; bleeding/bruising; petechiae; dyspnea; weakness; recurrent fever; weight loss,Cancer (Hematological),vata
Nasal cavity and paranasal sinus cancer,Cancer and neoplasms,nasal obstruction; epistaxis; facial pain/swelling; headache; proptosis; double vision; numbness; tooth loosening,Cancer (Head and neck),pitta
Nasopharyngeal cancer,Cancer and neoplasms,neck mass; nasal obstruction; epistaxis; hearing loss; tinnitus; headache; facial numbness; diplopia; weight loss,Cancer (Head and neck),pitta
Neuroblastoma,Cancer and neoplasms,abdominal mass; pain; weight loss; fever; irritability; bone pain; proptosis; periorbital ecchymosis; hypertension; diarrhea; paraneoplastic opsoclonus-myoclonus,Cancer (Pediatric neural crest tumor),vata
Gastrointestinal neuroendocrine tumor,Cancer and neoplasms,flushing; diarrhea; wheezing; abdominal pain; weight loss; palpitations; edema; heart failure; GI obstruction,Cancer (Neuroendocrine),pitta
Non-small cell lung cancer,Cancer and neoplasms,chronic cough; hemoptysis; chest pain; dyspnea; hoarseness; pleural effusion; weight loss; fatigue; clubbing,Cancer (Respiratory),vata
Oropharyngeal cancer,Cancer and neoplasms,sore throat; dysphagia; ear pain; lump in neck; bad breath; bleeding; weight loss; voice change,Cancer (Head and neck),pitta
Osteosarcoma,Cancer and neoplasms,localized bone pain; swelling; palpable mass; pathological fractures; fever (rare); limited motion; weight loss,Cancer (Bone sarcoma),vata
Ovarian cancer,Cancer and neoplasms,abdominal bloating; pain; early satiety; urinary frequency; pelvic mass; fatigue; weight loss; abnormal bleeding; ascites,Cancer (Gynecological),kapha
Ovarian germ cell tumor,Cancer and neoplasms,abdominal pain; distension; palpable mass; irregular periods; precocious puberty; weight loss; fatigue,Cancer (Gynecological/germ cell),kapha
Pancreatic cancer,Cancer and neoplasms,epigastric pain radiating to back; jaundice; weight loss; anorexia; nausea; vomiting; diabetes onset; pruritus; fatigue; depression,Cancer (Gastrointestinal),pitta
Pancreatic neuroendocrine tumor,Cancer and neoplasms,abdominal pain; diarrhea; flushing; hypoglycemia (insulinoma); peptic ulcers (gastrinoma); weight loss; palpitations; fatigue,Cancer (Neuroendocrine),pitta
Paraganglioma,Cancer and neoplasms,hypertension; headaches; palpitations; sweating; anxiety; chest pain; abdominal mass; flushing; tremors,Cancer (Neuroendocrine),pitta
Paranasal sinus cancer,Cancer and neoplasms,nasal obstruction; epistaxis; facial pain/swelling; proptosis; vision changes; headache; loose teeth,Cancer (Head and neck),pitta
Parathyroid cancer,Cancer and neoplasms,hypercalcemia symptoms (weakness; fatigue; constipation; kidney stones; bone pain; abdominal pain; depression); palpable neck mass; hoarseness,Cancer (Endocrine),pitta
Penile cancer,Cancer and neoplasms,penile lesion/ulcer; discharge; foul smell; bleeding; pain; swelling; inguinal mass; weight loss,Cancer (Genitourinary),pitta
Pituitary tumor (pituitary adenoma),Cancer and neoplasms,headache; vision changes (bitemporal hemianopia); hormonal symptoms (amenorrhea; galactorrhea; acromegaly; Cushing features; hypopituitarism); fatigue; infertility,Cancer (Endocrine/central nervous system),pitta
Plasma cell neoplasm (multiple myeloma),Cancer and neoplasms,bone pain (especially spine and ribs); fractures; anemia (fatigue; pallor); recurrent infections; renal impairment; hypercalcemia (thirst; confusion; constipation); weight loss; weakness; bleeding tendencies; neuropathy,Cancer (Hematologic malignancy),vata
Pleuropulmonary blastoma,Cancer and neoplasms,cough; difficulty breathing; chest pain; fever; weight loss; recurrent pneumonia; hemoptysis; fatigue; chest mass on imaging,Cancer (Pediatric lung tumor),vata
Primary central nervous system lymphoma,Cancer and neoplasms,headache; seizures; focal neurological deficits; cognitive decline; personality changes; confusion; vision problems; speech difficulty; weakness; nausea; vomiting,Cancer (Central nervous system lymphoma),vata
Prostate cancer,Cancer and neoplasms,difficulty urinating; weak urine stream; frequent urination (especially at night); hematuria; pelvic pain; bone pain (metastasis); erectile dysfunction; weight loss; fatigue,Cancer (Genitourinary),kapha
Pulmonary inflammatory myofibroblastic tumor,Cancer and neoplasms,cough; chest pain; shortness of breath; hemoptysis; fever; weight loss; fatigue; chest mass,Cancer (Lung/soft tissue tumor),pitta
Rectal cancer,Cancer and neoplasms,rectal bleeding; change in bowel habits; tenesmus; abdominal pain; unexplained anemia; weight loss; fatigue; obstruction signs,Cancer (Gastrointestinal),pitta
Retinoblastoma,Cancer and neoplasms,leukocoria (white pupillary reflex); strabismus; vision loss; eye pain; redness; swelling; proptosis (advanced); glaucoma signs,Cancer (Eye—pediatric),pitta
Rhabdomyosarcoma,Cancer and neoplasms,rapidly growing mass (head; neck; genitourinary; extremities); pain; obstruction (urinary/respiratory); bleeding; proptosis (orbital); weight loss; fatigue,Cancer (Soft tissue sarcoma),vata
Salivary gland cancer,Cancer and neoplasms,painless lump/swelling in salivary gland; facial numbness or weakness; difficulty swallowing; pain; trismus; ulceration; lymphadenopathy,Cancer (Head and neck),pitta
Sézary syndrome,Cancer and neoplasms,diffuse itchy red rash (erythroderma); scaling skin; enlarged lymph nodes; fatigue; weight loss; hair loss; thickened skin; infections; abnormal circulating lymphocytes,Cancer (Cutaneous T-cell lymphoma—leukemic),pitta
Squamous cell carcinoma of the skin,Cancer and neoplasms,rough scaly patch; ulcerated lesion; bleeding sore; slow-growing nodule; pain; local destruction; metastasis in advanced cases,Cancer (Skin),pitta
Small cell lung cancer,Cancer and neoplasms,chronic cough; hemoptysis; dyspnea; chest pain; hoarseness; weight loss; fatigue; paraneoplastic syndromes (SIADH; Cushing); SVC syndrome; bone pain; neurologic syndromes,Cancer (Respiratory),vata
Small intestine cancer,Cancer and neoplasms,abdominal pain; nausea; vomiting; weight loss; GI bleeding; anemia; obstruction; jaundice (ampullary); palpable mass,Cancer (Gastrointestinal),pitta
Soft tissue sarcoma,Cancer and neoplasms,painless enlarging mass; swelling; pain (later); functional limitation; weight loss; fatigue; obstruction or bleeding if visceral,Cancer (Soft tissue),vata
Squamous cell carcinoma (non-skin),Cancer and neoplasms,persistent sore or ulcer; dysphagia; hoarseness; bleeding; cough; pain; weight loss; obstruction; mass in affected organ (e.g.; esophagus; cervix; head/neck),Cancer (Epithelial/squamous origin),pitta
Testicular cancer,Cancer and neoplasms,painless testicular lump/swelling; scrotal heaviness; pain/discomfort; gynecomastia; back pain (metastasis); weight loss; fatigue,Cancer (Genitourinary/germ cell),kapha
Throat cancer,Cancer and neoplasms,persistent sore throat; hoarseness; dysphagia; lump in neck; ear pain; cough; hemoptysis; bad breath; weight loss,Cancer (Head and neck),pitta
Thymoma and thymic carcinoma,Cancer and neoplasms,chest pain; cough; dyspnea; hoarseness; superior vena cava syndrome; myasthenia gravis symptoms (weakness; diplopia; ptosis); weight loss,Cancer (Mediastinal tumor),pitta
Thyroid cancer,Cancer and neoplasms,thyroid nodule; neck swelling; hoarseness; dysphagia; cough; dyspnea; cervical lymphadenopathy; weight loss (advanced),Cancer (Endocrine),pitta
Tracheobronchial tumor,Cancer and neoplasms,cough; hemoptysis; dyspnea; wheezing; chest pain; recurrent infections; stridor; weight loss; fatigue,Cancer (Respiratory),vata
Transitional cell carcinoma of the renal pelvis and ureter,Cancer and neoplasms,hematuria; flank pain; urinary frequency; dysuria; obstruction; weight loss; fatigue,Cancer (Genitourinary),pitta
Urethral cancer,Cancer and neoplasms,difficulty urinating; hematuria; pelvic pain; palpable urethral mass; urinary retention; incontinence; discharge; weight loss,Cancer (Genitourinary),pitta
Uterine cancer (endometrial),Cancer and neoplasms,abnormal uterine bleeding; pelvic pain; postmenopausal bleeding; discharge; weight loss; fatigue; pelvic mass,Cancer (Gynecological),pitta
Uterine sarcoma,Cancer and neoplasms,abnormal vaginal bleeding; pelvic mass; pain; bloating; weight loss; fatigue,Cancer (Gynecological/mesenchymal),pitta
Vaginal cancer,Cancer and neoplasms,vaginal bleeding (postcoital; postmenopausal); discharge; pelvic pain; dyspareunia; urinary/rectal symptoms; palpable mass; weight loss,Cancer (Gynecological),pitta
Vulvar cancer,Cancer and neoplasms,vulvar itching; burning; pain; non-healing ulcer; bleeding; lump; discharge; dysuria; weight loss,Cancer (Gynecological),pitta
Wilms tumor,Cancer and neoplasms,abdominal mass/swelling; abdominal pain; hematuria; hypertension; fever; anorexia; nausea; vomiting; constipation; weight loss,Cancer (Pediatric kidney tumor),kapha
Cutaneous T-cell lymphoma,Cancer and neoplasms,skin patches; plaques; tumors; pruritus; scaling; lymphadenopathy; infections; erythroderma (advanced); weight loss; fatigue,Cancer (Skin/hematological),pitta
Diffuse intrinsic pontine glioma (DIPG),Cancer and neoplasms,cranial nerve deficits (facial weakness; double vision); limb weakness; ataxia; dysphagia; headache; vomiting; lethargy; hydrocephalus symptoms,Cancer (CNS—pediatric brainstem),vata
Esthesioneuroblastoma,Cancer and neoplasms,nasal obstruction; epistaxis; anosmia; headache; proptosis; vision changes; facial pain; lump in nasal cavity; seizures (advanced),Cancer (Head and neck/olfactory),vata
Extragonadal germ cell tumor,Cancer and neoplasms,abdominal/pelvic mass; pain; cough (mediastinal); chest pain; dyspnea; weight loss; fatigue; hormonal effects (rare),Cancer (Germ cell tumor),kapha
Extracranial germ cell tumor (childhood),Cancer and neoplasms,abdominal/pelvic mass; pain; distension; respiratory distress (mediastinal); weight loss; precocious puberty (rare),Cancer (Pediatric germ cell),kapha
Chordoma,Cancer and neoplasms,chronic pain (spinal/sacral); neurological deficits (weakness; numbness; bladder/bowel issues); headaches (skull base); palpable mass; weight loss,Cancer (Bone tumor—notochord origin),vata
Carcinoid tumor,Cancer and neoplasms,flushing; diarrhea; wheezing; abdominal pain; palpitations; weight loss; edema; valvular heart disease; hepatomegaly,Cancer (Neuroendocrine tumor),pitta
Adrenocortical carcinoma,Cancer and neoplasms,abdominal pain; palpable mass; virilization/feminization signs; Cushing’s syndrome (weight gain; striae; hypertension; diabetes); weakness; fatigue; weight loss,Cancer (Endocrine/adrenal),pitta
Angiosarcoma,Cancer and neoplasms,rapidly enlarging painful mass; skin bruising/purple lesion; edema; bleeding; weight loss; fatigue; metastasis symptoms,Cancer (Vascular sarcoma),pitta
Glioblastoma,Cancer and neoplasms,severe headache; nausea; vomiting; seizures; focal neurological deficits; cognitive decline; confusion; speech difficulty; weakness; rapid progression,Cancer (CNS—high-grade glioma),vata
Ependymoma,Cancer and neoplasms,headache; nausea; vomiting; hydrocephalus; seizures; weakness; balance problems; vision changes; cranial nerve palsy,Cancer (CNS tumor),vata
Oligodendroglioma,Cancer and neoplasms,seizures; headache; personality change; weakness; cognitive decline; speech difficulty; visual changes; nausea; vomiting,Cancer (CNS tumor),vata
Chondrosarcoma,Cancer and neoplasms,localized bone pain; swelling; palpable mass; pathological fracture; limited mobility; weight loss (advanced),Cancer (Bone/cartilage tumor),vata
Seminoma,Cancer and neoplasms,painless testicular mass; scrotal heaviness; back pain (metastasis); gynecomastia (rare); weight loss; fatigue,Cancer (Germ cell tumor—testis),kapha
Yolk sac tumor,Cancer and neoplasms,testicular or ovarian mass; abdominal pain; distension; precocious puberty (rare); weight loss; fatigue; elevated AFP symptoms,Cancer (Germ cell tumor),kapha
Teratoma,Cancer and neoplasms,palpable mass (testicular; ovarian; mediastinal); abdominal pain; distension; dysuria (pelvic); respiratory symptoms (mediastinal); weight loss,Cancer (Germ cell tumor),kapha
Choriocarcinoma,Cancer and neoplasms,irregular bleeding; abdominal pain; hemoptysis (lung metastasis); headache; seizures (brain metastasis); weight loss; high hCG symptoms (hyperemesis; thyrotoxicosis),Cancer (Gestational/germ cell tumor),pitta
Fibrosarcoma,Cancer and neoplasms,painless enlarging soft tissue mass; swelling; pain (late); limited function; weight loss; fatigue,Cancer (Soft tissue sarcoma),vata
Ewing sarcoma,Cancer and neoplasms,localized bone pain; swelling; palpable mass; fever; weight loss; anemia; fatigue; pathological fractures; night pain,Cancer (Bone sarcoma—small round cell),vata
Islet cell tumors (Pancreatic neuroendocrine tumors),Cancer and neoplasms,abdominal pain; diarrhea; weight loss; flushing; fatigue; hypoglycemia (sweating; tremors; confusion; palpitations; fainting); recurrent peptic ulcers (gastrinoma); watery diarrhea (VIPoma); rash (glucagonoma); depression; anorexia,Cancer (Neuroendocrine tumor),pitta
Pheochromocytoma,Cancer and neoplasms,paroxysmal hypertension; pounding headache; palpitations; excessive sweating; anxiety; tremors; flushing; chest pain; shortness of breath; nausea; weight loss; heat intolerance; vision problems; seizures (rare),Cancer (Endocrine/adrenal tumor),pitta
"Benign brain tumors (e.g., meningioma, acoustic neuroma, pituitary adenoma)",Cancer and neoplasms,headache; seizures; nausea; vomiting; vision changes (double vision; field loss); hearing loss; tinnitus; balance problems; weakness; sensory deficits; speech difficulty; personality changes; memory impairment; hormonal disturbances (in pituitary tumors),"Tumor (Central nervous system, non-malignant)",vata
Liposarcoma,Cancer and neoplasms,"painless enlarging soft tissue mass (often in thigh, retroperitoneum, or limb); swelling; feeling of heaviness; abdominal pain or fullness (retroperitoneal); constipation; urinary symptoms (if pelvic involvement); weight loss; fatigue; limitation of movement; numbness or tingling (if nerve compression); shortness of breath (if thoracic involvement); anemia (advanced disease)",Cancer (Soft tissue sarcoma),vata
Age-related macular degeneration (AMD),Eye diseases,blurred central vision; distortion of straight lines (metamorphopsia); difficulty reading; need for brighter light; central scotoma; impaired color perception; difficulty recognizing faces; visual hallucinations (Charles Bonnet syndrome),Eye diseases (Retinal disorder),pitta
Amblyopia,Eye diseases,reduced visual acuity in one eye; poor depth perception; difficulty with hand-eye coordination; squinting; head tilting; poor school performance (in children); eye drifting (strabismus-associated),Eye diseases (Visual development disorder),vata
Aniridia,Eye diseases,absent or partially formed iris; light sensitivity (photophobia); reduced visual acuity; nystagmus; cataract; glaucoma; strabismus,Eye diseases (Congenital malformation),vata
Astigmatism,Eye diseases,blurred vision; distorted vision (at all distances); eye strain; headaches; squinting; difficulty with night vision; glare sensitivity,Eye diseases (Refractive error),vata
Best disease (Best vitelliform macular dystrophy),Eye diseases,central vision loss (progressive); blurred vision; metamorphopsia; decreased color vision; difficulty reading; macular lesion visible on exam,Eye diseases (Inherited retinal dystrophy),vata
Blepharitis,Eye diseases,red swollen eyelids; crusting at lash line; itching; burning; foreign body sensation; tearing; light sensitivity; blurred vision (from tear film instability),Eye diseases (Eyelid/inflammatory),pitta
Blepharospasm,Eye diseases,involuntary blinking; eyelid twitching; forceful eye closure; eye irritation; photophobia; difficulty keeping eyes open; functional vision impairment,Eye diseases (Neuromuscular disorder),vata
Central retinal vein occlusion (CRVO),Eye diseases,sudden painless vision loss; blurred vision; floaters; dark spots in vision; photophobia; eye pain (rare); retinal hemorrhages visible on exam,Eye diseases (Vascular/retinal),vata
Choroideremia,Eye diseases,progressive night blindness; peripheral vision loss; tunnel vision; eventual central vision loss; difficulty with color vision; photophobia,Eye diseases (Inherited chorioretinal dystrophy),vata
Coats disease,Eye diseases,decreased vision; strabismus; leukocoria; retinal detachment; photopsia; floaters; eye pain (advanced); glaucoma (secondary),Eye diseases (Retinal vascular disorder—pediatric),vata
Coloboma,Eye diseases,keyhole-shaped defect in iris/retina/optic nerve; blurred vision; reduced acuity; photophobia; strabismus; visual field loss; nystagmus (sometimes),Eye diseases (Congenital malformation),vata
Congenital cataract,Eye diseases,cloudy lens; leukocoria; strabismus; nystagmus; blurred vision; delayed visual development; poor fixation; photophobia,Eye diseases (Congenital lens disorder),kapha
Conjunctival melanoma,Eye diseases,pigmented conjunctival lesion; growth of conjunctival mass; irritation; redness; foreign body sensation; visual changes (if large),Eye diseases (Ocular tumor),pitta
Conjunctivitis (various forms),Eye diseases,eye redness; discharge (watery; purulent; mucous); itching; burning; tearing; grittiness; photophobia; eyelid swelling; blurred vision,Eye diseases (Conjunctival inflammation),pitta
"Corneal dystrophy (e.g., Fuchs’ endothelial dystrophy)",Eye diseases,blurred vision; glare; halos around lights; morning blurry vision; eye pain (erosions); tearing; corneal edema,Eye diseases (Corneal disorder),vata
"Corneal ulcer (bacterial, fungal, viral)",Eye diseases,severe eye pain; redness; tearing; purulent discharge; photophobia; decreased vision; corneal opacity; foreign body sensation,Eye diseases (Corneal infection),pitta
Cystoid macular edema,Eye diseases,blurred central vision; distortion; scotoma; impaired color vision; difficulty reading; metamorphopsia; floaters (sometimes),Eye diseases (Retinal/macular disorder),pitta
Diabetic macular edema,Eye diseases,blurred central vision; fluctuating vision; distortion; scotoma; floaters; impaired color vision; difficulty reading; glare sensitivity,Eye diseases (Diabetic retinal disease),pitta
Dry eye syndrome / keratoconjunctivitis sicca,Eye diseases,dryness; burning; grittiness; redness; photophobia; blurred vision; tearing (reflex); eye fatigue; discomfort with contact lenses,Eye diseases (Ocular surface disease),vata
Ectropion,Eye diseases,outward turning eyelid; tearing; dryness; irritation; redness; foreign body sensation; photophobia; keratitis (secondary); blurred vision,Eye diseases (Eyelid malposition),vata
Entropion,Eye diseases,inward turning eyelid; foreign body sensation; tearing; redness; eye pain; corneal abrasion; photophobia; blurred vision,Eye diseases (Eyelid malposition),vata
Epiretinal membrane (macular pucker),Eye diseases,blurred central vision; metamorphopsia; double vision; scotoma; difficulty reading; glare sensitivity,Eye diseases (Retinal/macular disorder),vata
Exophthalmos / proptosis,Eye diseases,bulging eye; dryness; redness; double vision; lid retraction; pain; tearing; vision loss (optic nerve compression); restricted eye movement,Eye diseases (Orbital disorder),pitta
Fuchs’ heterochromic iridocyclitis,Eye diseases,chronic mild anterior uveitis; blurred vision; floaters; heterochromia; cataract; glaucoma; minimal redness or pain,Eye diseases (Inflammatory/uveitis),pitta
Geographic atrophy (in AMD),Eye diseases,progressive central vision loss; scotoma; difficulty reading; impaired color vision; poor night vision,Eye diseases (Retinal disorder),vata
"Glaucoma (open-angle, angle-closure, normal tension)",Eye diseases,peripheral vision loss; tunnel vision (late); halos around lights; eye pain (angle-closure); headache; nausea; vomiting; blurred vision; redness; photophobia,Eye diseases (Optic neuropathy),vata
Graves’ ophthalmopathy (thyroid eye disease),Eye diseases,bulging eyes; double vision; eyelid retraction; redness; swelling; tearing; photophobia; eye pain; restricted eye movement; vision loss (optic neuropathy),Eye diseases (Autoimmune/orbital),pitta
Hemianopsia (post-chiasmal lesion),Eye diseases,loss of half visual field (homonymous); difficulty reading; bumping into objects; disorientation; visual neglect (in severe cases),Eye diseases (Neurological visual disorder),vata
Horner’s syndrome (ocular involvement),Eye diseases,ptosis; miosis; anhidrosis; enophthalmos (apparent); anisocoria more noticeable in dark; heterochromia (congenital),Eye diseases (Neurological/autonomic),vata
Hydroxychloroquine / chloroquine retinopathy,Eye diseases,paracentral scotoma; blurred vision; glare; color vision changes; difficulty reading; “bull’s-eye” maculopathy on exam,Eye diseases (Toxic retinal disorder),pitta
Iris melanoma,Eye diseases,pigmented iris lesion; blurred vision; heterochromia; photophobia; glaucoma (secondary); eye pain; visible growth,Eye diseases (Ocular tumor),pitta
Keratoconus,Eye diseases,progressive blurred vision; distortion; multiple ghost images; glare; halos; frequent prescription changes; eye rubbing; photophobia,Eye diseases (Corneal ectasia),vata
"Keratitis (viral, bacterial, acanthamoeba)",Eye diseases,severe eye pain; redness; tearing; photophobia; blurred vision; discharge; foreign body sensation; corneal opacity; ulceration,Eye diseases (Corneal infection/inflammation),pitta
Keratoglobus,Eye diseases,extreme corneal thinning; protrusion; blurred vision; photophobia; glare; frequent prescription changes; corneal rupture (risk),Eye diseases (Corneal ectasia),vata
Leber’s congenital amaurosis,Eye diseases,severe visual impairment in infancy; nystagmus; poor pupillary response; eye poking behavior; photophobia; progressive vision loss,Eye diseases (Inherited retinal dystrophy),vata
Leber’s hereditary optic neuropathy,Eye diseases,sudden central vision loss (usually in young males); scotoma; color vision loss; blurred vision; bilateral sequential involvement; poor recovery,Eye diseases (Mitochondrial optic neuropathy),vata
Macular hole,Eye diseases,blurred central vision; metamorphopsia; central scotoma; difficulty reading; distorted images; impaired color vision,Eye diseases (Retinal/macular disorder),vata
Myopia (high/degenerative),Eye diseases,blurred distance vision; squinting; eye strain; headaches; floaters; flashes (retinal detachment risk); progressive vision loss,Eye diseases (Refractive error),vata
Nystagmus,Eye diseases,involuntary eye movements; oscillopsia; blurred vision; dizziness; difficulty focusing; impaired depth perception; poor night vision,Eye diseases (Neurological/ocular motor),vata
Ocular albinism,Eye diseases,decreased visual acuity; nystagmus; photophobia; strabismus; reduced depth perception; foveal hypoplasia; iris translucency,Eye diseases (Genetic pigment disorder),vata
Ocular cicatricial pemphigoid,Eye diseases,chronic conjunctivitis; redness; tearing; pain; photophobia; symblepharon (adhesions); trichiasis; corneal scarring; progressive vision loss,Eye diseases (Autoimmune/conjunctival disorder),pitta
Ocular larva migrans (ocular toxocariasis),Eye diseases,unilateral vision loss; leukocoria; strabismus; retinal granuloma; floaters; retinal detachment (advanced),Eye diseases (Parasitic infection),pitta
Ocular melanoma,Eye diseases,dark lesion in eye; blurred vision; floaters; flashes of light; visual field loss; eye pain (advanced); secondary glaucoma,Eye diseases (Ocular tumor),pitta
Ocular surface squamous neoplasia (OSSN),Eye diseases,conjunctival or corneal mass; redness; irritation; foreign body sensation; tearing; photophobia; decreased vision; cosmetic concern,Eye diseases (Ocular tumor),pitta
Optic disc drusen,Eye diseases,blurred vision; transient visual obscurations; peripheral vision loss; pseudopapilledema; visual field defects; glare sensitivity,Eye diseases (Optic nerve disorder),vata
Optic neuritis,Eye diseases,sudden vision loss; eye pain (worse with movement); color vision loss; central scotoma; photophobia; flashing lights; afferent pupillary defect,Eye diseases (Optic nerve inflammation),pitta
Optic nerve glioma,Eye diseases,progressive vision loss; proptosis; nystagmus; strabismus; headache; endocrine dysfunction (hypothalamic involvement); diencephalic syndrome (in children),Eye diseases (Optic nerve tumor),vata
Optic nerve atrophy,Eye diseases,reduced visual acuity; visual field loss; color vision impairment; afferent pupillary defect; glare sensitivity; progressive vision loss,Eye diseases (Optic neuropathy),vata
Orbital cellulitis,Eye diseases,painful swollen eyelid; redness; fever; proptosis; double vision; restricted eye movement; blurred vision; headache; systemic illness,Eye diseases (Orbital infection),pitta
Papilledema,Eye diseases,blurred vision; transient visual obscurations; headache; nausea; vomiting; double vision; pulsatile tinnitus; visual field loss (late),Eye diseases (Optic nerve swelling due to raised ICP),vata
Pterygium,Eye diseases,fleshy triangular growth on conjunctiva; redness; irritation; dryness; foreign body sensation; tearing; blurred vision (if extends onto cornea); cosmetic concern,Eye diseases (Conjunctival disorder),pitta
Pinguecula,Eye diseases,yellowish conjunctival nodule; dryness; irritation; redness; foreign body sensation; tearing; cosmetic concern,Eye diseases (Conjunctival disorder),pitta
Pigment dispersion syndrome,Eye diseases,blurred vision; halos around lights; eye pain; photophobia; floaters; elevated intraocular pressure; risk of glaucoma,Eye diseases (Anterior segment disorder),vata
Posterior uveitis,Eye diseases,blurred vision; floaters; eye pain; photophobia; redness; scotomas; reduced color vision; headache,Eye diseases (Uveal inflammation),pitta
Primary congenital glaucoma,Eye diseases,tearing; photophobia; blepharospasm; corneal clouding; enlarged cornea (“buphthalmos”); irritability; poor vision; eye rubbing,Eye diseases (Pediatric glaucoma),vata
Primary open-angle glaucoma,Eye diseases,gradual peripheral vision loss; tunnel vision (late); halos around lights; mild eye pain; headache; asymptomatic in early stages,Eye diseases (Optic neuropathy),vata
Primary angle closure glaucoma,Eye diseases,sudden severe eye pain; blurred vision; halos; headache; nausea; vomiting; red eye; mid-dilated fixed pupil; rapid vision loss,Eye diseases (Optic neuropathy),vata
Proliferative vitreoretinopathy,Eye diseases,recurrent retinal detachment; blurred vision; floaters; flashes of light; distorted vision; progressive vision loss,Eye diseases (Retinal disorder),vata
Retinal detachment (rhegmatogenous),Eye diseases,sudden flashes; floaters; shadow/curtain over vision; blurred vision; progressive visual field loss; photopsia,Eye diseases (Retinal disorder),vata
