Disease,Common disease group,Symptoms,Disease Group,Dosha Types,symptoms_clean,dosha_clean
Essential thrombocythemia,Hematological diseases,"Headache, dizziness, visual disturbances, burning pain in hands or feet, redness of skin, easy bruising, bleeding (nosebleeds, gums), blood clots (deep vein thrombosis, pulmonary embolism, stroke, heart attack), numbness or tingling, fatigue, weakness, enlarged spleen, abdominal pain or fullness, pallor, confusion, no symptoms (in some cases)",Myeloproliferative neoplasm,pitta;kapha,headache dizziness visual disturbances burning pain in hands or feet redness of skin easy bruising bleeding nosebleeds gums blood clots deep vein thrombosis pulmonary embolism stroke heart attack numbness or tingling fatigue weakness enlarged spleen abdominal pain or fullness pallor confusion no symptoms in some cases,pitta|kapha
Primary myelofibrosis,Hematological diseases,"Fatigue, weakness, night sweats, weight loss, fever, enlarged spleen, abdominal pain or fullness, easy bruising, bleeding, pallor, anemia, bone pain, joint pain, shortness of breath, frequent infections, loss of appetite, early satiety, skin changes, itching, muscle pain, confusion, no symptoms (in some cases)",Myeloproliferative neoplasm (myelofibrosis),vata;kapha,fatigue weakness night sweats weight loss fever enlarged spleen abdominal pain or fullness easy bruising bleeding pallor anemia bone pain joint pain shortness of breath frequent infections loss of appetite early satiety skin changes itching muscle pain confusion no symptoms in some cases,vata|kapha
Chronic idiopathic myelofibrosis,Hematological diseases,"Fatigue, weakness, night sweats, weight loss, fever, enlarged spleen, abdominal pain or fullness, easy bruising, bleeding, pallor, anemia, bone pain, joint pain, shortness of breath, frequent infections, loss of appetite, early satiety, skin changes, itching, muscle pain, confusion, no symptoms (in some cases)",Myeloproliferative neoplasm (myelofibrosis),vata;kapha,fatigue weakness night sweats weight loss fever enlarged spleen abdominal pain or fullness easy bruising bleeding pallor anemia bone pain joint pain shortness of breath frequent infections loss of appetite early satiety skin changes itching muscle pain confusion no symptoms in some cases,vata|kapha
Transient myeloproliferative disease,Hematological diseases,"Thrombocytopenia, leukocytosis, anemia, hepatomegaly (enlarged liver), splenomegaly (enlarged spleen), jaundice, ascites (fluid in abdomen), pericardial effusion, pleural effusion, respiratory distress, bleeding tendency, skin rash (leukemia cutis), hydrops fetalis (fluid in multiple body compartments), cardiac abnormalities (cardiomegaly, atrial/ventricular septal defects), renal failure (rare), organomegaly, peripheral blasts in blood, bone marrow fibrosis (sometimes), asymptomatic in some cases","Neonatal myeloproliferative disorder (precancerous, associated with Down syndrome)",pitta;vata,thrombocytopenia leukocytosis anemia hepatomegaly enlarged liver splenomegaly enlarged spleen jaundice ascites fluid in abdomen pericardial effusion pleural effusion respiratory distress bleeding tendency skin rash leukemia cutis hydrops fetalis fluid in multiple body compartments cardiac abnormalities cardiomegaly atrial ventricular septal defects renal failure rare organomegaly peripheral blasts in blood bone marrow fibrosis sometimes asymptomatic in some cases,vata|pitta
Gaucher disease,Hematological diseases,"Enlarged spleen (splenomegaly), enlarged liver (hepatomegaly), anemia, fatigue, easy bruising, bone pain, bone fractures, delayed growth, bleeding tendency, low platelet count, lung problems, neurological symptoms (in some types), yellowish skin, joint pain, osteoporosis, nosebleeds, abnormal blood counts, delayed puberty, skin pigmentation changes",Lysosomal storage disorder (inherited metabolic disease),kapha;vata,enlarged spleen splenomegaly enlarged liver hepatomegaly anemia fatigue easy bruising bone pain bone fractures delayed growth bleeding tendency low platelet count lung problems neurological symptoms in some types yellowish skin joint pain osteoporosis nosebleeds abnormal blood counts delayed puberty skin pigmentation changes,vata|kapha
Niemann-Pick disease (some types),Hematological diseases,"Enlarged spleen, enlarged liver, jaundice, anemia, developmental delay, loss of motor skills, feeding difficulties, failure to thrive, lung problems, frequent infections, ataxia, loss of muscle tone, difficulty swallowing, cherry-red spot in eye, seizures, progressive neurological decline, loss of vision/hearing, dementia, abnormal blood counts, skin pigmentation changes",Lysosomal storage disorder (inherited metabolic disease),kapha;vata,enlarged spleen enlarged liver jaundice anemia developmental delay loss of motor skills feeding difficulties failure to thrive lung problems frequent infections ataxia loss of muscle tone difficulty swallowing cherry red spot in eye seizures progressive neurological decline loss of vision hearing dementia abnormal blood counts skin pigmentation changes,vata|kapha
Castleman disease,Hematological diseases,"Enlarged lymph nodes, fever, night sweats, fatigue, weight loss, loss of appetite, anemia, easy bruising, skin rash, enlarged liver or spleen, peripheral neuropathy, cough, shortness of breath, fluid accumulation (edema, ascites), weakness, recurrent infections, abnormal blood counts, bone pain, abdominal pain, nausea, vomiting","Lymphoproliferative disorder (rare, can be unicentric or multicentric)",kapha;pitta,enlarged lymph nodes fever night sweats fatigue weight loss loss of appetite anemia easy bruising skin rash enlarged liver or spleen peripheral neuropathy cough shortness of breath fluid accumulation edema ascites weakness recurrent infections abnormal blood counts bone pain abdominal pain nausea vomiting,pitta|kapha
Thrombocytopathy,Hematological diseases,"Easy bruising, abnormal bleeding (nosebleeds, bleeding gums, heavy periods), prolonged bleeding from cuts, petechiae, purpura, excessive bleeding after surgery or dental work, menorrhagia, mucosal bleeding, spontaneous bleeding, low platelet function, pallor, weakness, fatigue",Platelet function disorder (hereditary or acquired),vata;pitta,easy bruising abnormal bleeding nosebleeds bleeding gums heavy periods prolonged bleeding from cuts petechiae purpura excessive bleeding after surgery or dental work menorrhagia mucosal bleeding spontaneous bleeding low platelet function pallor weakness fatigue,vata|pitta
Hematopoietic stem cell failure syndromes,Hematological diseases,"Fatigue, weakness, pallor, frequent infections, easy bruising or bleeding, anemia, low platelet count, low white blood cell count, shortness of breath, dizziness, headaches, abnormal blood counts, delayed growth, bone pain, mouth sores, recurrent fevers, skin rashes, poor appetite, delayed healing, organomegaly (sometimes), neurological symptoms (rare)",Bone marrow failure syndrome (inherited or acquired),vata;kapha,fatigue weakness pallor frequent infections easy bruising or bleeding anemia low platelet count low white blood cell count shortness of breath dizziness headaches abnormal blood counts delayed growth bone pain mouth sores recurrent fevers skin rashes poor appetite delayed healing organomegaly sometimes neurological symptoms rare,vata|kapha
Congenital amegakaryocytic thrombocytopenia,Hematological diseases,"Easy bruising, abnormal bleeding (nosebleeds, bleeding gums, heavy periods), petechiae, purpura, prolonged bleeding from cuts, excessive bleeding after surgery or dental work, menorrhagia, mucosal bleeding, spontaneous bleeding, very low platelet count, pallor, weakness, fatigue, delayed growth, recurrent infections (if progressing to aplastic anemia), abnormal blood counts",Hereditary bone marrow failure syndrome (platelet production disorder),vata;pitta,easy bruising abnormal bleeding nosebleeds bleeding gums heavy periods petechiae purpura prolonged bleeding from cuts excessive bleeding after surgery or dental work menorrhagia mucosal bleeding spontaneous bleeding very low platelet count pallor weakness fatigue delayed growth recurrent infections if progressing to aplastic anemia abnormal blood counts,vata|pitta
Gray platelet syndrome,Hematological diseases,"Easy bruising, abnormal bleeding (nosebleeds, bleeding gums, heavy periods), prolonged bleeding from cuts, petechiae, purpura, excessive bleeding after surgery or dental work, menorrhagia, mucosal bleeding, spontaneous bleeding, low platelet count, large gray platelets on blood smear, pallor, weakness, fatigue, mild to moderate anemia, splenomegaly (sometimes), abnormal blood counts",Hereditary platelet disorder (storage pool deficiency),vata;pitta,easy bruising abnormal bleeding nosebleeds bleeding gums heavy periods prolonged bleeding from cuts petechiae purpura excessive bleeding after surgery or dental work menorrhagia mucosal bleeding spontaneous bleeding low platelet count large gray platelets on blood smear pallor weakness fatigue mild to moderate anemia splenomegaly sometimes abnormal blood counts,vata|pitta
Amyloidosis (hematologic variant),Hematological diseases,"Fatigue, weakness, shortness of breath, swelling of ankles and legs, dizziness, low blood pressure, diarrhea (possibly with blood), constipation, nausea, loss of appetite, weight loss, enlarged tongue (macroglossia), purpura (especially around the eyes), skin thickening or easy bruising, dark or purple patches around the eyes, numbness, tingling or pain in hands or feet, carpal tunnel syndrome, heart failure symptoms (chest pain, palpitations, irregular heartbeat), foamy urine, repeat infections, trouble swallowing, proteinuria, peripheral edema, sensory disorder, capillary fragility, alterations in intestinal motility, malabsorption, kidney dysfunction, enlarged liver or spleen, neurological symptoms, blurred or spotty vision, glaucoma, headaches, loss of movement control, seizures, stroke-like episodes, dementia, bone pain, joint pain, reproductive tract bleeding, anemia, pallor, weakness, confusion, skin changes, periorbital purpura, macroglossia, autonomic dysfunction, burning pain, loss of sensitivity to temperature, sexual dysfunction, excessive sweating, unintentional weight loss, abnormal blood counts, organomegaly, ascites, pericardial effusion, pleural effusion, cardiac abnormalities, renal failure, hydrops fetalis (rare)",Protein deposition disorder (hematologic/amyloid),kapha;pitta,fatigue weakness shortness of breath swelling of ankles and legs dizziness low blood pressure diarrhea possibly with blood constipation nausea loss of appetite weight loss enlarged tongue macroglossia purpura especially around the eyes skin thickening or easy bruising dark or purple patches around the eyes numbness tingling or pain in hands or feet carpal tunnel syndrome heart failure symptoms chest pain palpitations irregular heartbeat foamy urine repeat infections trouble swallowing proteinuria peripheral edema sensory disorder capillary fragility alterations in intestinal motility malabsorption kidney dysfunction enlarged liver or spleen neurological symptoms blurred or spotty vision glaucoma headaches loss of movement control seizures stroke like episodes dementia bone pain joint pain reproductive tract bleeding anemia pallor weakness confusion skin changes periorbital purpura macroglossia autonomic dysfunction burning pain loss of sensitivity to temperature sexual dysfunction excessive sweating unintentional weight loss abnormal blood counts organomegaly ascites pericardial effusion pleural effusion cardiac abnormalities renal failure hydrops fetalis rare,pitta|kapha
Erythrocytosis,Hematological diseases,"Headache, dizziness, blurred vision, redness of skin (face, hands, feet), high blood pressure, fatigue, weakness, night sweats, weight loss, enlarged spleen, abdominal pain or fullness, easy bruising, bleeding (nosebleeds, gums), blood clots, numbness or tingling, burning pain in hands or feet, gout, shortness of breath, pallor, confusion, ringing in ears, heart attack, stroke, pruritus (itching), no symptoms (in some cases)",Increased red blood cell disorder (myeloproliferative/neoplastic or secondary),pitta;kapha,headache dizziness blurred vision redness of skin face hands feet high blood pressure fatigue weakness night sweats weight loss enlarged spleen abdominal pain or fullness easy bruising bleeding nosebleeds gums blood clots numbness or tingling burning pain in hands or feet gout shortness of breath pallor confusion ringing in ears heart attack stroke pruritus itching no symptoms in some cases,pitta|kapha
Leukocytosis (various causes),Hematological diseases,"Fever, fatigue, weakness, night sweats, weight loss, frequent infections, enlarged spleen, abdominal pain or fullness, easy bruising, bleeding, pallor, anemia, bone pain, joint pain, shortness of breath, loss of appetite, early satiety, skin changes, itching, muscle pain, confusion, no symptoms (in some cases)",Increased white blood cell disorder (reactive or neoplastic),pitta;kapha,fever fatigue weakness night sweats weight loss frequent infections enlarged spleen abdominal pain or fullness easy bruising bleeding pallor anemia bone pain joint pain shortness of breath loss of appetite early satiety skin changes itching muscle pain confusion no symptoms in some cases,pitta|kapha
Agranulocytosis,Hematological diseases,"Frequent infections, fever, chills, sore throat, mouth ulcers, gum infections, pneumonia, skin infections, fatigue, weakness, pallor, anemia, easy bruising, bleeding, rapid heartbeat, shortness of breath, confusion, sepsis, delayed healing, abnormal blood counts",Severe neutropenia (white blood cell disorder),vata;pitta,frequent infections fever chills sore throat mouth ulcers gum infections pneumonia skin infections fatigue weakness pallor anemia easy bruising bleeding rapid heartbeat shortness of breath confusion sepsis delayed healing abnormal blood counts,vata|pitta
Neutropenia,Hematological diseases,"Frequent infections, fever, chills, sore throat, mouth ulcers, gum infections, pneumonia, skin infections, fatigue, weakness, pallor, anemia, easy bruising, bleeding, rapid heartbeat, shortness of breath, confusion, sepsis, delayed healing, abnormal blood counts",Low neutrophil disorder (white blood cell disorder),vata;pitta,frequent infections fever chills sore throat mouth ulcers gum infections pneumonia skin infections fatigue weakness pallor anemia easy bruising bleeding rapid heartbeat shortness of breath confusion sepsis delayed healing abnormal blood counts,vata|pitta
Langerhans cell histiocytosis,Hematological diseases,"Bone pain, skin rash, scalp lesions, ear discharge, enlarged lymph nodes, enlarged spleen or liver, fever, weight loss, fatigue, cough, shortness of breath, frequent infections, anemia, easy bruising, bleeding, pallor, delayed growth, diabetes insipidus, neurological symptoms, mouth ulcers, gum disease, jaw swelling, abdominal pain, diarrhea, vomiting, abnormal blood counts",Histiocytic disorder (rare neoplastic/inflammatory),pitta;kapha,bone pain skin rash scalp lesions ear discharge enlarged lymph nodes enlarged spleen or liver fever weight loss fatigue cough shortness of breath frequent infections anemia easy bruising bleeding pallor delayed growth diabetes insipidus neurological symptoms mouth ulcers gum disease jaw swelling abdominal pain diarrhea vomiting abnormal blood counts,pitta|kapha
Hemophagocytic lymphohistiocytosis,Hematological diseases,"Fever, enlarged spleen, enlarged liver, lymphadenopathy, skin rash, jaundice, anemia, easy bruising, bleeding, pallor, fatigue, weakness, frequent infections, neurological symptoms (seizures, confusion), respiratory distress, abdominal pain, diarrhea, vomiting, abnormal blood counts, low platelet count, low white blood cell count, high ferritin, organ failure, shock",Histiocytic disorder (inflammatory/immune dysregulation),pitta;vata,fever enlarged spleen enlarged liver lymphadenopathy skin rash jaundice anemia easy bruising bleeding pallor fatigue weakness frequent infections neurological symptoms seizures confusion respiratory distress abdominal pain diarrhea vomiting abnormal blood counts low platelet count low white blood cell count high ferritin organ failure shock,vata|pitta
"Blood parasitic infections causing hematologic changes (e.g., malaria)",Hematological diseases,"Fever, chills, sweats, headache, muscle pain, joint pain, fatigue, weakness, anemia, jaundice, enlarged spleen, enlarged liver, nausea, vomiting, diarrhea, abdominal pain, pallor, easy bruising, bleeding, confusion, seizures, respiratory distress, dark urine, hemoglobinuria, low platelet count, abnormal blood counts, shock (severe cases)",Infectious hematologic disorder (parasitic),pitta;vata,fever chills sweats headache muscle pain joint pain fatigue weakness anemia jaundice enlarged spleen enlarged liver nausea vomiting diarrhea abdominal pain pallor easy bruising bleeding confusion seizures respiratory distress dark urine hemoglobinuria low platelet count abnormal blood counts shock severe cases,vata|pitta
HIV-related hematologic disorders,Hematological diseases,"Fatigue, weakness, pallor, anemia, easy bruising, bleeding, frequent infections, fever, night sweats, weight loss, enlarged lymph nodes, enlarged spleen or liver, skin rashes, mouth ulcers, gum disease, neurological symptoms, abnormal blood counts, low platelet count, low white blood cell count, delayed healing, bone pain, joint pain, loss of appetite, diarrhea, nausea, vomiting, confusion, muscle pain",Infectious/immune hematologic disorder (HIV-associated),vata;pitta,fatigue weakness pallor anemia easy bruising bleeding frequent infections fever night sweats weight loss enlarged lymph nodes enlarged spleen or liver skin rashes mouth ulcers gum disease neurological symptoms abnormal blood counts low platelet count low white blood cell count delayed healing bone pain joint pain loss of appetite diarrhea nausea vomiting confusion muscle pain,vata|pitta
Chemotherapy-induced anemia or cytopenias,Hematological diseases,"Fatigue, weakness, pallor, anemia, easy bruising, bleeding, frequent infections, fever, mouth ulcers, gum disease, abnormal blood counts, low platelet count, low white blood cell count, delayed healing, hair loss, nausea, vomiting, diarrhea, loss of appetite, bone pain, joint pain, muscle pain, confusion, shortness of breath, rapid heartbeat",Drug-induced cytopenia (iatrogenic),vata;pitta,fatigue weakness pallor anemia easy bruising bleeding frequent infections fever mouth ulcers gum disease abnormal blood counts low platelet count low white blood cell count delayed healing hair loss nausea vomiting diarrhea loss of appetite bone pain joint pain muscle pain confusion shortness of breath rapid heartbeat,vata|pitta
Post-transfusion purpura,Hematological diseases,"Sudden onset of purpura (bruising), petechiae, easy bruising, abnormal bleeding (nosebleeds, bleeding gums), low platelet count, fatigue, weakness, pallor, anemia, spontaneous bleeding, mucosal bleeding, skin bleeding, delayed healing, abnormal blood counts, fever (sometimes), chills (sometimes)",Immune-mediated platelet disorder (transfusion-related),pitta;vata,sudden onset of purpura bruising petechiae easy bruising abnormal bleeding nosebleeds bleeding gums low platelet count fatigue weakness pallor anemia spontaneous bleeding mucosal bleeding skin bleeding delayed healing abnormal blood counts fever sometimes chills sometimes,vata|pitta
Cold agglutinin syndrome,Hematological diseases,"Fatigue, weakness, pallor, dizziness, palpitations, shortness of breath, jaundice (yellowing of skin and eyes), dark brown urine, sweating, coldness of fingers and toes, painful bluish or reddish discoloration of digits, ankles, and wrists (acrocyanosis or Raynaud sign), headaches, sore back, leg or joint pain, ringing in ears, irritability or behavioral changes, vomiting, diarrhea, chest pain, irregular heartbeat, cold feet or hands, loss of color in fingers or toes, symptoms worse in cold temperatures",Autoimmune hemolytic anemia (cold type),pitta;vata,fatigue weakness pallor dizziness palpitations shortness of breath jaundice yellowing of skin and eyes dark brown urine sweating coldness of fingers and toes painful bluish or reddish discoloration of digits ankles and wrists acrocyanosis or raynaud sign headaches sore back leg or joint pain ringing in ears irritability or behavioral changes vomiting diarrhea chest pain irregular heartbeat cold feet or hands loss of color in fingers or toes symptoms worse in cold temperatures,vata|pitta
Hemophilia variants due to factor deficiencies,Hematological diseases,"Prolonged bleeding, easy bruising, joint pain and swelling (hemarthrosis), muscle bleeding, spontaneous bleeding, excessive bleeding after injury or surgery, nosebleeds, bleeding gums, blood in urine or stool, intracranial hemorrhage (rare), pallor, weakness, fatigue",Hereditary coagulation disorder (various factor deficiencies),vata;pitta,prolonged bleeding easy bruising joint pain and swelling hemarthrosis muscle bleeding spontaneous bleeding excessive bleeding after injury or surgery nosebleeds bleeding gums blood in urine or stool intracranial hemorrhage rare pallor weakness fatigue,vata|pitta
Acquired hemophilia,Hematological diseases,"Sudden onset of bleeding, easy bruising, spontaneous bleeding into skin, muscles, or joints, prolonged bleeding after injury or surgery, nosebleeds, bleeding gums, blood in urine or stool, gastrointestinal bleeding, intracranial hemorrhage (rare), pallor, weakness, fatigue, anemia",Acquired coagulation disorder (autoimmune),vata;pitta,sudden onset of bleeding easy bruising spontaneous bleeding into skin muscles or joints prolonged bleeding after injury or surgery nosebleeds bleeding gums blood in urine or stool gastrointestinal bleeding intracranial hemorrhage rare pallor weakness fatigue anemia,vata|pitta
Idiopathic hypereosinophilic syndrome,Hematological diseases,"Fatigue, fever, weight loss, cough, shortness of breath, skin rash, itching, swelling, abdominal pain, diarrhea, nausea, vomiting, muscle pain, joint pain, enlarged spleen or liver, heart problems (arrhythmias, heart failure), neurological symptoms (confusion, weakness, seizures), anemia, easy bruising, bleeding, pallor",Eosinophilic disorder (idiopathic),pitta;kapha,fatigue fever weight loss cough shortness of breath skin rash itching swelling abdominal pain diarrhea nausea vomiting muscle pain joint pain enlarged spleen or liver heart problems arrhythmias heart failure neurological symptoms confusion weakness seizures anemia easy bruising bleeding pallor,pitta|kapha
Erythropoietic failure,Hematological diseases,Severe pain on sun exposure; tingling; itching; burning of skin; edema; erythema; blisters; mild anemia; jaundice; fatigue,Hematological disorder (related to defective erythropoiesis),pitta,severe pain on sun exposure tingling itching burning of skin edema erythema blisters mild anemia jaundice fatigue,pitta
Pyruvate kinase deficiency,Hematological diseases,Hemolytic anemia; jaundice; fatigue; shortness of breath; tachycardia; splenomegaly; leg ulcers; gallstones,"Metabolic enzyme deficiency, hemolytic anemia",pitta,hemolytic anemia jaundice fatigue shortness of breath tachycardia splenomegaly leg ulcers gallstones,pitta
Southeast Asian ovalocytosis,Hematological diseases,Mild or asymptomatic; pallor; jaundice; anemia; gallstones,Hereditary red blood cell membrane disorder,vata;pitta,mild or asymptomatic pallor jaundice anemia gallstones,vata|pitta
Stomatocytosis,Hematological diseases,Fatigue; pallor; jaundice; splenomegaly; gallstones; hemolytic anemia signs,Hereditary red blood cell membrane disorder,pitta,fatigue pallor jaundice splenomegaly gallstones hemolytic anemia signs,pitta
Cerebral folate deficiency,Hematological diseases,Poor muscle tone; trouble with coordination; speech difficulties; seizures; developmental delays; sleep disturbances; visual and hearing losses; psychomotor retardation,Metabolic/nutritional deficiency affecting CNS,vata;pitta,poor muscle tone trouble with coordination speech difficulties seizures developmental delays sleep disturbances visual and hearing losses psychomotor retardation,vata|pitta
Cobalamin defects,Hematological diseases,Feeding difficulties; failure to thrive; hypotonia; lethargy; developmental delay; seizures; anemia; ophthalmological abnormalities; behavioral disturbances,Metabolic vitamin B12 metabolism disorder,kapha;vata,feeding difficulties failure to thrive hypotonia lethargy developmental delay seizures anemia ophthalmological abnormalities behavioral disturbances,vata|kapha
Hereditary folate malabsorption,Hematological diseases,Failure to thrive; diarrhea; mouth ulcers; motor impairment; seizures; developmental delay; megaloblastic anemia; recurrent infections,Inherited folate transport disorder,pitta;kapha,failure to thrive diarrhea mouth ulcers motor impairment seizures developmental delay megaloblastic anemia recurrent infections,pitta|kapha
Acute megakaryoblastic leukemia (AMKL),Hematological diseases,Fever; irritability; headache; fatigue; bone pain; bruises; pallor; hepatosplenomegaly; lymphadenopathy; difficulty walking,Hematologic malignancy (leukemia),pitta;vata,fever irritability headache fatigue bone pain bruises pallor hepatosplenomegaly lymphadenopathy difficulty walking,vata|pitta
"Chronic Idiopathic Myelofibrosis (MF), Mastocytosis",Hematological diseases,MF: anemia; fatigue; splenomegaly; abdominal discomfort; Mastocytosis: flushing; itching; abdominal pain; anaphylaxis,Myeloproliferative neoplasms,pitta,mf anemia fatigue splenomegaly abdominal discomfort mastocytosis flushing itching abdominal pain anaphylaxis,pitta
Histiocytosis,Hematological diseases,Rash; bone pain; organ dysfunction (depending on site); lymphadenopathy,Proliferative disorder of histiocytes,pitta;vata,rash bone pain organ dysfunction depending on site lymphadenopathy,vata|pitta
Eosinophilia,Hematological diseases,Rash; asthma; sinusitis; abdominal pain (depending on underlying cause),Hematologic or immune disorder with elevated eosinophils,pitta,rash asthma sinusitis abdominal pain depending on underlying cause,pitta
Monoclonal gammopathies,Hematological diseases,Often asymptomatic; bone pain; fatigue; infections (if progression to multiple myeloma),Plasma cell neoplasms,kapha;pitta,often asymptomatic bone pain fatigue infections if progression to multiple myeloma,pitta|kapha
Monoclonal B-cell lymphocytosis,Hematological diseases,Usually asymptomatic; found on routine blood work; can progress to chronic lymphocytic leukemia,Lymphoproliferative disorder,kapha,usually asymptomatic found on routine blood work can progress to chronic lymphocytic leukemia,kapha
Immune thrombocytopenic purpura (ITP),Hematological diseases,Easy bruising; bleeding into the skin that looks like tiny reddish-purple spots (petechiae); larger skin bleeding known as purpura; bleeding from gums or nose; blood in urine or stools; heavy menstrual flow; spontaneous widespread hematomas; fatigue,Autoimmune bleeding disorder characterized by low platelet count (thrombocytopenia),pitta,easy bruising bleeding into the skin that looks like tiny reddish purple spots petechiae larger skin bleeding known as purpura bleeding from gums or nose blood in urine or stools heavy menstrual flow spontaneous widespread hematomas fatigue,pitta
Myelofibrosis,Hematological diseases,"Fatigue; weakness; shortness of breath; pale skin; easy bruising or bleeding; night sweats; fever; bone pain; abdominal pain or fullness (especially on the left side due to enlarged spleen); loss of appetite; unintentional weight loss; frequent infections; itching (sometimes after a hot bath); feeling full quickly when eating; increased risk of thrombosis; gout; high uric acid levels; chills; cachexia; skin nodules (cutaneous myelofibrosis, rare)",Hematologic malignancy (myeloproliferative neoplasm),vata;pitta,fatigue weakness shortness of breath pale skin easy bruising or bleeding night sweats fever bone pain abdominal pain or fullness especially on the left side due to enlarged spleen loss of appetite unintentional weight loss frequent infections itching sometimes after a hot bath feeling full quickly when eating increased risk of thrombosis gout high uric acid levels chills cachexia skin nodules cutaneous myelofibrosis rare,vata|pitta
Angina pectoris,Cardiovascular diseases,chest pain or pressure (often radiating to left arm; neck; jaw; or back); shortness of breath; sweating; nausea; vomiting; palpitations; fatigue; dizziness; indigestion-like discomfort; anxiety; fainting (rare),Ischemic heart disease,vata,chest pain or pressure often radiating to left arm neck jaw or back shortness of breath sweating nausea vomiting palpitations fatigue dizziness indigestion like discomfort anxiety fainting rare,vata
Unstable angina,Cardiovascular diseases,chest pain at rest or with minimal exertion; increasing frequency or severity of chest pain; prolonged episodes (>20 minutes); shortness of breath; sweating; nausea; palpitations; dizziness; sense of impending doom,Acute coronary syndrome,vata,chest pain at rest or with minimal exertion increasing frequency or severity of chest pain prolonged episodes minutes shortness of breath sweating nausea palpitations dizziness sense of impending doom,vata
Prinzmetal (variant) angina,Cardiovascular diseases,episodic chest pain at rest (often nocturnal or early morning); transient ST-segment elevation during pain; palpitations; shortness of breath; sweating; dizziness; relief with nitrates; triggers by cold; stress; or vasoconstrictive drugs,Coronary vasospasm,vata,episodic chest pain at rest often nocturnal or early morning transient st segment elevation during pain palpitations shortness of breath sweating dizziness relief with nitrates triggers by cold stress or vasoconstrictive drugs,vata
Acute myocardial infarction (heart attack),Cardiovascular diseases,severe crushing chest pain; pain radiating to arm/neck/jaw/back; shortness of breath; sweating; nausea; vomiting; palpitations; dizziness; syncope; weakness; sense of impending doom; confusion; cyanosis; fever (later phase); arrhythmia; cardiogenic shock; sudden cardiac arrest,Ischemic heart disease,vata,severe crushing chest pain pain radiating to arm neck jaw back shortness of breath sweating nausea vomiting palpitations dizziness syncope weakness sense of impending doom confusion cyanosis fever later phase arrhythmia cardiogenic shock sudden cardiac arrest,vata
Chronic ischemic heart disease,Cardiovascular diseases,exertional chest discomfort; dyspnea on exertion; fatigue; decreased exercise tolerance; palpitations; ankle swelling (later); nocturnal angina; stable pattern of symptoms; silent episodes possible,Ischemic heart disease,vata,exertional chest discomfort dyspnea on exertion fatigue decreased exercise tolerance palpitations ankle swelling later nocturnal angina stable pattern of symptoms silent episodes possible,vata
Silent myocardial ischemia,Cardiovascular diseases,asymptomatic or atypical fatigue; exertional breathlessness; mild dizziness; reduced exercise capacity; incidental ECG changes or stress test positivity,Ischemic heart disease,vata,asymptomatic or atypical fatigue exertional breathlessness mild dizziness reduced exercise capacity incidental ecg changes or stress test positivity,vata
Sudden cardiac death,Cardiovascular diseases,abrupt collapse; loss of consciousness; absent pulse; agonal breathing or apnea; preceding palpitations or chest discomfort in some; often occurs during exertion or rest without warning,Arrhythmic/coronary,vata,abrupt collapse loss of consciousness absent pulse agonal breathing or apnea preceding palpitations or chest discomfort in some often occurs during exertion or rest without warning,vata
Essential (primary) hypertension,Cardiovascular diseases,often asymptomatic; headache (occipital or morning); dizziness; palpitations; blurred vision; nosebleeds; fatigue; shortness of breath on exertion; chest discomfort; sleep disturbance,Hypertension,pitta,often asymptomatic headache occipital or morning dizziness palpitations blurred vision nosebleeds fatigue shortness of breath on exertion chest discomfort sleep disturbance,pitta
Secondary hypertension,Cardiovascular diseases,resistant or severe hypertension; headache; episodic sweating and palpitations (pheochromocytoma); muscle weakness or cramps (hyperaldosteronism); snoring/daytime sleepiness (OSA); flank pain or hematuria (renal disease); bruits; thyroid symptoms,Hypertension,pitta,resistant or severe hypertension headache episodic sweating and palpitations pheochromocytoma muscle weakness or cramps hyperaldosteronism snoring daytime sleepiness osa flank pain or hematuria renal disease bruits thyroid symptoms,pitta
Hypertensive heart disease,Cardiovascular diseases,exertional dyspnea; chest pain; palpitations; fatigue; ankle edema; orthopnea; paroxysmal nocturnal dyspnea; signs of left ventricular hypertrophy or heart failure,Hypertension complications,pitta,exertional dyspnea chest pain palpitations fatigue ankle edema orthopnea paroxysmal nocturnal dyspnea signs of left ventricular hypertrophy or heart failure,pitta
Pulmonary hypertension,Cardiovascular diseases,progressive shortness of breath; fatigue; chest pain or pressure; palpitations; syncope or presyncope (especially on exertion); ankle swelling; abdominal fullness (hepatomegaly); cyanosis (late),Pulmonary vascular disease,vata,progressive shortness of breath fatigue chest pain or pressure palpitations syncope or presyncope especially on exertion ankle swelling abdominal fullness hepatomegaly cyanosis late,vata
Renal artery stenosis,Cardiovascular diseases,refractory hypertension; abdominal or flank bruit; sudden worsening renal function (especially after ACEi/ARB); episodic pulmonary edema; headache; dizziness; edema,Secondary hypertension/renovascular,vata,refractory hypertension abdominal or flank bruit sudden worsening renal function especially after acei arb episodic pulmonary edema headache dizziness edema,vata
Ischemic stroke,Cardiovascular diseases,sudden focal neurological deficit (weakness or numbness on one side; facial droop); speech difficulty (aphasia; dysarthria); vision loss or double vision; ataxia; dizziness; sudden severe headache (less common); confusion; imbalance,Cerebrovascular disease,vata,sudden focal neurological deficit weakness or numbness on one side facial droop speech difficulty aphasia dysarthria vision loss or double vision ataxia dizziness sudden severe headache less common confusion imbalance,vata
